state,product_description,address_1,city,status,lat,lon
WV,DrNatura Toxinout Kit Broad Spectrum Detoxification Program,781 Chestnut Ridge Rd,Morgantow,Terminated,39.659242,-79.957619
WI,"El Tapatio Queso Fresco, Mexican Style Crumbling Cheese",2903 3rd St N,Monroe,Completed,42.614337,-89.623083
WI,"Fiber Powder, Dietary Supplement, Apple Cinnamon Flavored",3017 Business Park Dr,Stevens Point,Ongoing,44.506883,-89.515475
WI,Superior Fresh Lettuce Blend,W15532 Superior Fresh Dr,Northfield,Ongoing,44.453285,-91.094254
WI,Superior Fresh Lettuce Blend,W15532 Superior Fresh Dr,Northfield,Ongoing,44.453285,-91.094254
WI,Superior Fresh Organic Spring Mix Family Pack,W15532 Superior Fresh Dr,Northfield,Ongoing,44.453285,-91.094254
WY,Honey Caramels Blue Raspberry,262 E Main St,Lovell,Terminated,44.837257,-108.38789
WY,Truffle,262 E Main St,Lovell,Terminated,44.837257,-108.38789
WY,Honey Caramels Caramel Apple,262 E Main St,Lovell,Terminated,44.837257,-108.38789
WY,All Milk Classic Truffle,262 E Main St,Lovell,Terminated,44.837257,-108.38789
WY,Cherry Classic Truffle,262 E Main St,Lovell,Terminated,44.837257,-108.38789
